description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
-> Horadric Staff	1			0	28				2	msf	vip						hst																																																																																							0
-> Super Khalim Flail	1			0	28				4	qf1	qhr	qey	qbr				qf2																																																																																							0
-> portal to cow lvl	1			0	28				2	leg	tbk						Cow Portal																																																																																							0
Pandemonium key	1			100	28				3	pk1	pk2	pk3					Pandemonium Portal																																																																																							0
Pandemonium Finale key	1			100	28				3	dhn	bey	mbr					Pandemonium Finale Portal																																																																																							0
Token of Absolution	1			100					4	tes	ceh	bet	fed				toa																																																																																							0
-> full rejuvenate potion	1			0					7	"hpot,qty=3"	"mpot,qty=3"	gem2					rvl																																																																																							0
-> rejuvenate potion	1			0					7	"hpot,qty=3"	"mpot,qty=3"	gem0					rvs																																																																																							0
-> one large	1			0					3	"rvs,qty=3"							rvl																																																																																							0
-> antidote potion	1			0					2	gpl	hpot						yps																																																																																							0
-> bolts	1			0					2	"aqv,qty=2"							cqv																																																																																							0
-> arrows	1			0					2	"cqv,qty=2"							aqv																																																																																							0
-> throwing axe	1			0					2	axe	knif						"tax,nor"																																																																																							0
-> javelins	1			0					2	spea	aqv						"jav,nor"																																																																																							0
-> amulet	1			0					3	"rin,mag,qty=3"							"amu,mag"		75																																																																																					0
-> ring	1			0					3	"amu,mag,qty=3"							"rin,mag"		75																																																																																					0
-> flawed amethyst	1			0					3	"gcv,qty=3"							gfv																																																																																							0
-> standard amethyst	1			0					3	"gfv,qty=3"							gsv																																																																																							0
-> flawless amethyst	1			0					3	"gsv,qty=3"							gzv																																																																																							0
-> perfect amethyst	1			0					3	"gzv,qty=3"							gpv																																																																																							0
-> flawed ruby	1			0					3	"gcr,qty=3"							gfr																																																																																							0
-> standard ruby	1			0					3	"gfr,qty=3"							gsr																																																																																							0
-> flawless ruby	1			0					3	"gsr,qty=3"							glr																																																																																							0
